ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
106000590,88,41,BENE,48970,9,S,,I6,12387 double tag. Tag 48970 removed,BURNED,623,2023
106000591,33,0,BENE,48995,1,S,61,D10,,BURNED,622,2023
106000592,83,47,CEVE,12323,6,S,,I6,,BURNED,606,2023
106000593,41,36,PSME,48986,1,S,170,E7,,BURNED,623,2023
106000594,74,19,BENE,47940,1,S,24,H9,,BURNED,609,2023
106000595,71,50,BENE,12326,1,S,36,H5,,BURNED,623,2023
106000596,33,2,BENE,12381,1,S,34,D10,,BURNED,623,2023
106000597,48,31,PSME,11277,2,S,42,E8,,BURNED,607,2023
106000598,59,58,BENE,48898,1,S,56,F5,,BURNED,606,2023
106000599,68,34,CESA,37820,2,S,32,G7,,BURNED,606,2023
106000600,52,56,BENE,47967,1,S,55,F5,,BURNED,623,2023
106000601,89,76,BENE,48937,1,S,84,I3,,BURNED,622,2023
106000602,36,42,VAPA,12301,1,S,249,D6,Multi,BURNED,636,2023
106000603,61,8,PSME,48939,6,S,,G10,,BURNED,622,2023
106000604,84,72,CEVE,47990,6,S,,I3,,BURNED,606,2023
106000605,40,38,BENE,12307,1,S,27,E7,,BURNED,623,2023
106000606,78,22,CEVE,37674,1,S,56,H8,47642 tag changed 2023,BURNED,606,2023
106000607,22,40,CESA,48444,1,S,67,C6,,BURNED,607,2023
106000608,18,42,CEVE,48413,1,S,46,B6,ODD,BURNED,622,2023
106000609,32,40,PSME,11263,2,S,66,D6,,BURNED,623,2023
106000610,26,59,CEVE,47780,6,S,,C5,,BURNED,622,2023
106000611,41,42,CESA,48483,1,S,63,E6,,BURNED,609,2023
106000612,3,28,BENE,48973,1,S,56,A8,,BURNED,623,2023
106000613,76,97,BENE,47618,1,S,33,H1,,BURNED,619,2023
106000614,27,73,CESA,47799,1,S,305,C3,,BURNED,636,2023
106000615,29,10,CEVE,47904,1,S,75,C9,,BURNED,622,2023
106000616,1,45,CESA,48414,1,S,27,A6,,BURNED,607,2023
106000617,58,59,CEVE,12359,6,S,,F5,,BURNED,636,2023
106000618,96,43,BENE,48947,1,S,28,J6,,BURNED,623,2023
106000619,60,55,TSHE,12398,6,S,,G5,,BURNED,609,2023
106000620,46,73,BENE,11267,2,S,30,E3,,BURNED,607,2023
106000621,29,3,CEVE,11228,2,S,143,C10,,BURNED,622,2023
106000622,2,29,BENE,47901,1,S,35,A8,,BURNED,607,2023
106000623,19,76,PSME,11225,2,S,48,B3,,BURNED,622,2023
106000624,33,72,BENE,12341,1,S,39,D4,,BURNED,607,2023
106000625,21,80,ACMA,47956,2,S,72,B2,,BURNED,619,2023
106000626,32,22,BENE,11278,2,S,22,D8,,BURNED,623,2023
106000627,28,42,ACMA,11234,2,S,70,C6,,BURNED,622,2023
106000628,82,41,BENE,48860,1,S,48,I6,,BURNED,609,2023
106000629,17,20,PSME,11275,2,S,58,B8,,BURNED,623,2023
106000630,50,57,BENE,47916,1,S,28,F5,,BURNED,609,2023
106000631,39,59,PSME,12435,2,S,47,D5,,BURNED,609,2023
106000632,36,86,BENE,48879,1,S,30,D2,,BURNED,606,2023
106000633,15,98,BENE,48822,1,S,62,B1,,BURNED,609,2023
106000634,66,68,PSME,48882,1,S,119,G4,,BURNED,605,2023
106000635,74,50,CESA,47909,1,S,34,I6,,BURNED,606,2023
106000636,37,91,BENE,12379,1,S,34,D1,,BURNED,624,2023
106000637,89,78,BENE,47693,1,S,34,I3,,BURNED,622,2023
106000638,8,93,BENE,48956,2,S,41,A1,PREV tagged,BURNED,623,2023
106000639,85,73,CESA,47201,2,S,26,I3,,BURNED,606,2023
106000640,71,49,BENE,47621,1,S,79,H6,,BURNED,606,2023
106000641,12,95,PSME,48830,1,S,186,B1,,BURNED,625,2023
106000642,85,72,CESA,48456,1,S,15,I3,Leader die back,BURNED,606,2023
106000643,52,77,PSME,11235,2,S,46,F3,,BURNED,607,2023
106000644,59,16,PSME,11288,2,S,44,F9,,BURNED,607,2023
106000645,86,85,PSME,11251,2,S,32,I2,,BURNED,623,2023
106000646,73,7,BENE,48975,1,S,68,H10,,BURNED,623,2023
106000647,60,30,CESA,47918,1,S,17,G7,,BURNED,609,2023
106000648,79,77,CESA,47661,1,S,28,I3,,BURNED,606,2023
106000649,5,40,CESA,47910,1,S,56,A6,Tag replaced,BURNED,609,2023
106000650,17,59,PSME,11213,2,S,41,B5,,BURNED,607,2023
106000651,60,61,BENE,47989,1,S,45,G4,,BURNED,622,2023
106000652,25,38,CEVE,11204,1,S,73,C7,CEVE3 ,BURNED,622,2023
106000653,69,52,BENE,12361,1,S,38,G5,,BURNED,623,2023
106000654,79,35,CEVE,47662,6,S,,H7,,BURNED,606,2023
106000655,50,53,BENE,12470,2,S,22,F5,,BURNED,609,2023
106000656,41,49,BENE,47622,1,S,67,E6,,BURNED,623,2023
106000657,55,4,PSME,12335,9,S,,F10,,BURNED,609,2023
106000658,80,33,CESA,47984,1,S,33,I7,,BURNED,606,2023
106000659,30,5,PSME,11245,2,S,40,D10,,BURNED,623,2023
106000660,71,97,BENE,12412,2,S,52,H1,,BURNED,619,2023
106000661,60,65,ARME,35422,2,S,29,G4,,BURNED,601,2023
106000662,78,5,PSME,48593,6,S,,H10,,BURNED,601,2023
106000663,55,60,ARME,45362,2,S,31,F4,,BURNED,601,2023
106000664,0,1,TSHE,48575,6,S,,A10,,BURNED,601,2023
106000665,60,75,ARME,48575,2,S,28,G4,,BURNED,601,2023
106000666,64,55,ARME,35578,2,S,25,F4,,BURNED,601,2023
106000667,55,65,ARME,35473,2,S,28,F4,,BURNED,601,2023
106000668,99,25,CEVE,47790,1,S,268,J8,,BURNED,601,2023
106000669,80,35,TSHE,TSHE2301,2,S,32,I7,,BURNED,601,2023
106000670,45,90,CEVE,45384,2,S,89,E1,,BURNED,601,2023
106000671,18,39,PSME,43151,2,S,75,B7,Previously missed ,BURNED,629,2023
106000672,96,18,PSME,37873,2,S,38,J9,,BURNED,629,2023
106000673,90,55,BENE,48804,1,S,64,J5,,BURNED,631,2023
106000674,21,78,BENE,47644,1,S,32,C3,,BURNED,621,2023
106000675,8,72,BENE,48840,1,S,38,A3,,BURNED,627,2023
106000676,65,94,BENE,48813,1,S,87,G1,,BURNED,632,2023
106000677,7,75,CESA,47709,1,S,46,A3,,BURNED,630,2023
106000678,43,91,BENE,47944,9,S,,E1,Tag found,BURNED,621,2023
106000679,20,89,BENE,47689,1,S,27,C2,,BURNED,631,2023
106000680,59,45,BENE,37656,2,S,29,F6,,BURNED,632,2023
106000681,51,8,HODI,47981,1,S,60,F10,Herbivory,BURNED,632,2023
106000682,14,47,BENE,47977,1,S,20,B6,,BURNED,627,2023
106000683,78,44,BENE,48856,1,S,21,H6,,BURNED,631,2023
106000684,34,48,PSME,48854,1,S,83,D6,,BURNED,629,2023
106000685,81,75,PSME,48907,2,S,54,I3,,BURNED,620,2023
106000686,41,25,PSME,48847,1,S,72,E8,,BURNED,630,2023
106000687,40,8,BENE,47973,1,S,16,E10,,BURNED,621,2023
106000688,31,50,BENE,48964,1,S,28,D5,,BURNED,621,2023
106000689,82,21,BENE,47681,1,S,16,I8,POTENTIAL MULTI w 12309,BURNED,632,2023
106000690,82,22,BENE,12309,1,S,23,I8,,BURNED,632,2023
106000691,9,12,PSME,12316,6,S,,A9,,BURNED,628,2023
106000692,63,55,BENE,48878,1,S,52,G5,,BURNED,630,2023
106000693,29,50,PSME,47966,2,S,45,C5,,BURNED,632,2023
106000694,73,95,TSHE,47915,6,S,,H1,,BURNED,620,2023
106000695,55,42,TSHE,48865,1,S,39,E6,Species changed from PSME,BURNED,629,2023
106000696,66,77,PSME,47625,2,S,45,G3,,BURNED,620,2023
106000697,70,41,BENE,48821,1,S,33,H6,,BURNED,632,2023
106000698,95,76,PSME,38098,2,S,44,J3,,BURNED,620,2023
106000699,47,0,BENE,48949,1,S,24,E10,,BURNED,621,2023
106000700,65,0,BENE,48936,1,S,35,G10,,BURNED,621,2023
106000701,28,81,BENE,47667,1,S,44,C2,,BURNED,621,2023
106000702,15,84,PSME,48894,9,S,,B2,,BURNED,631,2023
106000703,13,21,PSME,12398,2,S,37,B8,,BURNED,620,2023
106000704,13,38,BENE,47616,1,S,15,B7,No leaves ODD,BURNED,627,2023
