ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
615100119,75,91,TSHE,12402,2,S,12,H1,,BURNED,615,2023
615100120,81,41,TSHE,12405,2,S,13,I6,,BURNED,615,2023
619100121,71,97,BENE,12412,2,S,52,H1,,BURNED,619,2023
618100122,69,35,TSHE,12414,2,S,28,F7,,BURNED,618,2023
673100123,29,32,ACMA,12417,2,S,59,C7,,BURNED,673,2023
609100124,68,62,PSME,12418,2,S,34,G4,,BURNED,609,2023
615100125,56,10,TSHE,12420,2,S,25,F9,,BURNED,615,2023
666100126,30,4,BENE,12421,2,S,11,C10,,BURNED,666,2023
615100127,58,14,BENE,12422,2,S,30,F9,,BURNED,615,2023
609100128,28,15,PSME,12425,2,S,35,C9,,BURNED,609,2023
666100129,93,92,ACMA,12428,2,S,51,J1,,BURNED,666,2023
615100130,62,49,BENE,12429,2,S,39,G6,,BURNED,615,2023
609100131,39,59,PSME,12435,2,S,47,D5,,BURNED,609,2023
644100132,90,85,BENE,12437,2,S,80,J2,,BURNED,644,2023
666100133,52,40,BENE,12439,2,S,24,F6,,BURNED,666,2023
615100134,63,94,TSHE,12441,2,S,16,G1,,BURNED,615,2023
615100135,32,31,TSHE,12449,2,S,22,D7,,BURNED,615,2023
666100136,21,1,BENE,12451,2,S,5,C10,,BURNED,666,2023
644100137,85,55,BENE,12461,2,S,93,I5,,BURNED,644,2023
666100138,49,52,BENE,12465,2,S,49,E5,,BURNED,666,2023
609100139,50,53,BENE,12470,2,S,22,F5,,BURNED,609,2023
616100140,61,32,TSHE,12476,2,S,30,G7,,BURNED,616,2023
615100141,53,51,TSHE,12479,2,S,20,F5,,BURNED,615,2023
642100142,62,97,PSME,12481,2,S,72,G1,,BURNED,642,2023
624100143,72,92,ARME,12484,2,S,35,H1,,BURNED,624,2023
609100144,75,11,BENE,12491,2,S,21,H9,,BURNED,609,2023
